epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
107,2928.13,0.53745,0.33013,0.01012,0.93532,0.90579,0.94517,0.77846,0.64006,0.29505,0.01383,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
108,2954.94,0.54113,0.32906,0.01016,0.92214,0.90051,0.94612,0.77808,0.64094,0.30199,0.0139,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938
109,2981.73,0.54691,0.33389,0.01007,0.8818,0.91851,0.95009,0.77941,0.63745,0.30056,0.01376,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
110,3008.45,0.53159,0.33118,0.00993,0.90091,0.91333,0.94981,0.78582,0.63351,0.30728,0.01371,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806
111,3035.25,0.53616,0.32086,0.0098,0.90253,0.91479,0.95148,0.78838,0.62784,0.30124,0.01343,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
112,3062.54,0.52891,0.31559,0.00987,0.9157,0.9041,0.95085,0.79098,0.62941,0.30907,0.01362,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
113,3089.46,0.52064,0.32094,0.00973,0.91779,0.90478,0.95046,0.78888,0.63328,0.30383,0.01375,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608
114,3116.37,0.51781,0.30973,0.00978,0.93059,0.89425,0.9507,0.79021,0.63323,0.30617,0.01367,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542
115,3143.07,0.51663,0.31113,0.00954,0.92481,0.88193,0.95251,0.78845,0.63024,0.30408,0.01355,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
116,3169.83,0.50789,0.31517,0.00945,0.92909,0.88488,0.95121,0.78653,0.63001,0.30633,0.01342,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
117,3196.58,0.50899,0.31917,0.0094,0.91903,0.89206,0.95188,0.78982,0.62758,0.30134,0.01338,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344
118,3223.25,0.5138,0.31489,0.00949,0.91219,0.89418,0.95221,0.7901,0.62651,0.29947,0.01339,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
119,3249.93,0.49881,0.29564,0.00922,0.91062,0.89501,0.95122,0.79306,0.62594,0.29741,0.01334,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212
120,3276.91,0.49478,0.29746,0.00914,0.91926,0.89965,0.95118,0.79258,0.62179,0.2978,0.01322,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146
121,3303.24,0.49124,0.29571,0.00912,0.89371,0.90666,0.95103,0.79332,0.61912,0.29503,0.01318,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
